Index of Economic Freedom -- Explore the Data,,,,,,,,,,,,,,
Source: The Heritage Foundation,,,,,,,,,,,,,,
http://www.heritage.org/index,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2025,N/A,7.4,14.1,2.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2025,66.6,58.3,39.6,59.2,88.8,71.9,76.4,74.2,51.3,75.8,83.4,60,60
Algeria,2025,47.5,27.6,29.5,29.8,80.3,64.4,58.1,59.1,52.4,70.9,57.4,20,20
Angola,2025,55,39.9,28.2,25.7,86.9,89.5,89.1,45.2,50.8,64.2,70.4,30,40
Argentina,2025,54.2,34.7,39.7,56.5,70.8,57.1,67.9,55.3,55.2,23.3,64.4,65,60
Armenia,2025,65.4,49.9,50.4,31.3,88.1,77.6,81.3,73,59.2,72.2,72,70,60
Australia,2025,79.3,90.4,86.2,95.3,62.1,54.8,79.5,92.5,65.3,75,90,80,80
Austria,2025,69.7,97,75.4,94.8,46.3,13.5,63.7,81.7,81.8,72.7,79.6,60,70
Azerbaijan,2025,62.5,52.9,22,16.7,87.9,72.3,99,71.2,57.6,70.1,69.8,70,60
Bahrain,2025,65.6,65.4,39.8,30.2,99.9,74.3,0,76.5,55.3,88.7,86.6,90,80
Bangladesh,2025,54.7,36.5,23.3,27.9,82.6,95,70.2,53.9,47.4,67.1,62.2,50,40
Barbados,2025,68.9,72.8,71.7,86.9,83.6,74.1,68.8,73.1,56.4,78.4,40.8,60,60
Belarus,2025,48.9,20.9,28.8,10.5,89.3,55.6,96.2,50.9,48,67.2,69.2,30,20
Belgium,2025,69,92.8,79.3,93,50.6,11.8,48,82.3,58.6,76.8,79.6,85,70
Belize,2025,64.2,35.1,44.4,72.6,83.2,82.2,86.5,68.3,65.1,71.2,56.6,55,50
Benin,2025,58.5,44.8,42.4,49.1,69.4,88.4,51.9,53.7,58.7,80.3,63,50,50
Bhutan,2025,57.5,69.7,71.1,62.9,83.4,68.2,25.8,67.2,57.7,70.5,63,20,30
Bolivia,2025,44.1,19.9,27.3,29.4,88.8,61.8,4.4,54.8,56.5,70.6,60.6,15,40
Bosnia and Herzegovina,2025,63.5,48.3,36.2,33.9,93.6,51.2,97.9,67.1,66.2,72.5,70,65,60
Botswana,2025,69.9,74.1,60.1,70.5,84.9,70.8,90.4,70.6,60.7,68.3,78.8,50,60
Brazil,2025,55.1,51.4,36.4,54.2,74.8,44.3,49.6,66.8,57.1,74.4,71.6,40,40
Brunei Darussalam,2025,67,69.7,34.2,52.8,95,75.9,51.7,77.1,75.1,72.8,84.8,65,50
Bulgaria,2025,68.8,75.7,48.5,56.6,94.2,56.7,91.1,74.9,68,70.8,79.6,60,50
Burkina Faso,2025,51,28.1,40.7,35.7,82,73.3,13.7,38.6,61.9,71.9,61.4,65,40
Burma,2025,43.7,17.3,18.7,4.2,88.6,84,39.9,39.9,53.2,59.7,68.6,30,20
Burundi,2025,39.7,28.6,14.2,7.4,76.1,71.1,12.2,31.9,50,54.4,50.8,50,30
Cabo Verde,2025,68.7,64.6,64.4,75.1,84.4,77.8,54.7,80.2,59.6,76.5,67,60,60
Cambodia,2025,58.2,41.7,17.6,22.7,89.8,88.8,86.6,61,47.2,74.1,69.2,50,50
Cameroon,2025,52.1,31.3,20.7,10.3,72.9,91.2,92.3,48.8,46.5,73.7,57.2,30,50
Canada,2025,75.5,89,85.4,95.6,74.8,44.6,78,84.6,69.4,71.5,83.2,60,70
Central African Republic,2025,42.8,6.9,19.6,4,65.5,89.8,53.8,27.1,48.3,72.8,50.4,45,30
Chad,2025,52.2,27.4,14.1,14.5,78.5,92.9,97.9,28.7,53.5,72,47.2,60,40
Chile,2025,73.2,71.3,67.9,87.8,72.5,74.4,84.2,79.5,61.3,71.8,78,60,70
China,2025,49,46.7,40.4,37.4,71.6,67.1,11.1,67.7,57.9,74.6,74,20,20
Colombia,2025,59.8,45.5,40.9,58.8,67.6,64.4,48.7,68.6,61.7,69.4,72.2,60,60
Comoros,2025,51.4,22.9,16,20.9,65.3,89.5,86.1,49.9,55.1,71.3,64.2,45,30
Costa Rica,2025,68.6,65.9,60.4,75.7,78.5,88.6,70.8,80.3,62.1,74.9,75.4,50,40
Côte d'Ivoire,2025,57.8,46.3,36.6,31.1,82.2,86.3,42.4,65.2,56.8,66.5,70,60,50
Croatia,2025,68.7,81.3,53.4,71.4,77.3,35.1,90.3,80.4,69.1,66.6,79.6,60,60
Cuba,2025,25.4,29.9,33.4,14.3,51.9,0,0,42.3,20,20,72.8,10,10
Cyprus,2025,73.2,83.7,57.3,89.2,79.9,51.2,85.2,78.9,61.9,76.1,79.6,75,60
Czech Republic,2025,72.9,89.9,62.8,92,78.9,42.2,71.5,81.4,57.9,68.9,79.6,70,80
Democratic Republic of Congo,2025,47.3,15.6,11.7,12,74.2,92.4,97,32.8,54.4,59.4,68.2,30,20
Denmark,2025,79.1,99.3,98,90.5,45,33.6,98.2,93,64.9,76.6,79.6,90,80
Djibouti,2025,55.7,30.6,27.7,27.7,83.5,86.2,86.6,53.7,52.8,70.3,49.8,50,50
Dominica,2025,55.3,68.9,59.9,82.9,76.1,0,26.4,68,49.9,76.8,54.6,60,40
Dominican Republic,2025,64.3,56.3,38.5,58.2,84.6,89.5,77,75.6,53.1,69.4,68.8,60,40
Ecuador,2025,55.8,30.5,33.8,48,76.6,54.9,89.3,66.6,57.4,75.3,67.2,30,40
Egypt,2025,50.9,40.6,29.6,21.9,85.8,82.2,20.7,48,43.6,62.6,60.2,65,50
El Salvador,2025,56.6,43.2,30.9,14.6,78.2,72.2,56.1,62.7,54.9,66.2,70.4,70,60
Equatorial Guinea,2025,47.7,18.7,7.2,7.1,74.9,92.5,97.2,36.5,44.9,74.3,48.8,40,30
Eritrea,2025,38.6,6.1,14.5,3.8,80.3,62.3,69,31.3,43.4,63.9,68.4,0,20
Estonia,2025,78.9,93.7,84.5,93.9,80.8,48.8,90.9,83.3,62.2,68.8,79.6,90,70
Eswatini,2025,56.4,44.8,29.9,36.8,76.1,73.9,70.6,49.5,55.9,76.1,73.6,50,40
Ethiopia,2025,48.1,27.9,32.7,19.7,78.2,95.4,80.9,45.3,39.4,49.9,57.4,30,20
Fiji,2025,59.1,61.4,52.3,46.5,89.7,67.8,6.1,68.6,72,74.8,65,55,50
Finland,2025,77,100,94.8,97,68.2,7.3,81.5,88.3,65.6,76.1,79.6,85,80
France,2025,64.4,92.9,74.3,84.2,54.3,0,30,81.9,60.2,70.3,79.6,75,70
Gabon,2025,56.3,25.4,21.7,19.8,77.7,88.4,85.7,64.9,55.7,78.1,58,60,40
Georgia,2025,69,62.3,58.9,55.3,89.1,72.9,75.9,78.1,63.5,65.3,86.2,60,60
Germany,2025,71.6,95.4,86,93.5,60.5,26.9,81.1,83.7,53.3,69,79.6,60,70
Ghana,2025,56,50.5,45.8,58.2,79.9,81.6,6.2,56.6,55.9,52.7,64.4,60,60
Greece,2025,60.6,77.3,51.8,70.4,60,14,58.9,78,61.7,70.7,79.6,55,50
Guatemala,2025,63.4,38.7,22.6,26.8,92,94.3,95.5,67.1,57.9,74.2,72.2,70,50
Guinea,2025,54.6,22.3,25.1,26.5,70.4,93,93.4,44.9,56.4,71.1,61.8,50,40
Guinea-Bissau,2025,43.6,26.5,20.4,14,88.9,84.5,15.6,35.1,54.8,73.3,50.6,30,30
Guyana,2025,58.2,48.2,38.6,48.3,76.9,83.6,39.7,71.1,76.7,76,54,55,30
Haiti,2025,46.1,10.7,13,16.7,81.7,98.1,96.6,33.3,54.9,41.2,66.4,20,20
Honduras,2025,59.6,38.1,25.1,27.1,84.5,79.2,94.8,65,38.8,68.2,69.4,65,60
Hungary,2025,61.4,69.2,42.2,62.7,85.3,28.5,17.6,76.1,60.3,65.1,79.6,80,70
Iceland,2025,72.8,97,81.5,95.6,72.6,33.2,55.2,86.3,60.1,71.8,80.4,70,70
India,2025,53,51.1,37.6,53.2,71.3,74.2,6.2,72.3,59,69.9,61,40,40
Indonesia,2025,65.2,39.8,40.1,45.3,81.8,90.9,84.9,73,59.3,78,79.4,50,60
Iran,2025,42.5,23.3,16.3,18.6,81.3,94,84.1,38.4,43.6,39,55.8,5,10
Iraq,2025,N/A,6.3,19.9,7.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2025,83.1,94.1,84,95.5,77.6,85.1,95.8,88.1,62.4,75,79.6,90,70
Israel,2025,69.9,77.2,63.9,68.1,60.8,55.6,81.7,73.4,58.3,77.3,82.8,70,70
Italy,2025,60.9,82.2,60.6,78.8,57.4,9.5,0,77.6,70.7,74.2,79.6,80,60
Jamaica,2025,68.7,67.8,49.5,79.9,76.5,72.8,89,70.1,64.4,72.8,71.8,60,50
Japan,2025,70.2,95.1,82.8,96,62.5,47.5,41.6,78,67.8,74.4,76.2,60,60
Jordan,2025,59.4,54.4,48.8,43.5,83.9,68.5,2.8,62.4,55.6,79.9,82.4,70,60
Kazakhstan,2025,63.8,54.7,39.9,34.8,91.7,85.1,91.8,69.3,63.2,61.3,73.2,50,50
Kenya,2025,54.8,41.8,31.5,48,77,83.7,25.1,58.9,57.3,72.6,56.6,55,50
Kiribati,2025,50.9,68.5,48.9,59.9,72.9,0,19.7,62.8,65.3,72.5,80,30,30
Kosovo,2025,61.7,47.6,43.2,32.2,91.9,74.3,98.5,56.8,47.5,69,84.2,65,30
Kuwait,2025,59.9,42.7,46.9,42.9,97.7,38.2,100,57.4,49,67.8,75.6,50,50
Kyrgyz Republic,2025,55.6,21.7,23.3,10.2,92.5,64.8,95.9,58.7,52.9,63.4,73.6,60,50
Laos,2025,51.1,42.5,23.2,12.5,88.8,92.9,80,55.3,42.4,52.3,68.4,35,20
Latvia,2025,71.4,87.8,66.7,72.3,76.2,46.9,67.2,81.8,64,69.5,79.6,85,60
Lebanon,2025,44.1,22.3,24.5,22.6,90.3,95.6,63.6,47.8,57.1,0,65.4,20,20
Lesotho,2025,54.1,42.4,39.3,43.6,68,23.8,92,49.6,58,73.5,63.8,55,40
Liberia,2025,48.5,32.8,24.9,22.7,86,76.6,53.6,39,43.5,70.7,57,55,20
Libya,2025,N/A,5.7,11.7,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liechtenstein,2025,N/A,94.4,82.4,86.7,N/A,N/A,N/A,N/A,N/A,N/A,86.6,80,80
Lithuania,2025,74.6,89.4,68.7,74.6,76.9,58.8,96,81,60.5,69.2,79.6,70,70
Luxembourg,2025,79.5,97.8,85.7,97.2,62.7,39.4,98.5,89.2,57.5,71.9,79.6,95,80
Madagascar,2025,57,40.8,25.5,34.5,91.1,92.3,66.3,38.1,56.1,70.9,68.8,50,50
Malawi,2025,50.9,49.4,34.4,52.3,77.1,79.4,3.3,31.3,56,58.3,68.8,50,50
Malaysia,2025,67.1,66.3,51.1,66.2,83.9,82.1,48.1,76.6,58.1,79.6,83.4,60,50
Maldives,2025,48.3,51.6,40.5,41,91.5,44.4,0,48.8,58.2,75.2,63.2,35,30
Mali,2025,52.6,23.5,22.7,32.9,70,79.6,60.4,42.4,53.9,77.2,64,65,40
Malta,2025,66.8,86.2,55,81.5,70,57.5,44.8,80.7,65.2,70.5,79.6,60,50
Mauritania,2025,54.9,35.8,23.8,28.3,75.8,81.5,95.4,38.8,53.6,74.6,60.6,50,40
Mauritius,2025,75,86.4,53.2,81,89.8,77.1,64.9,82.9,69.3,67.4,87.4,70,70
Mexico,2025,61.3,41.1,29.5,39.9,75.6,76.5,67.3,71.9,57.6,69.3,72.2,75,60
Micronesia,2025,62.2,70,56,86.6,92.1,0,99.7,54.9,72.5,75.1,75,35,30
Moldova,2025,58.3,40.2,43.4,31.3,92.8,59.5,75.9,66.2,49.1,59.4,77.2,55,50
Mongolia,2025,62.6,49.7,35.5,55.4,85.7,72.6,73.5,67.9,68.1,68.8,74.4,50,50
Montenegro,2025,63.8,58.8,48.9,50.1,88.7,45.2,87.9,70.9,64.4,70.9,79.6,50,50
Morocco,2025,60.3,58.6,36.9,32.7,71.4,67.9,46.2,68.9,48.5,74.7,67.2,75,75
Mozambique,2025,50.7,31.6,24.9,44.9,75.4,68.8,51.9,37.3,47.7,72.3,74,40,40
Namibia,2025,58.7,65,51.2,67.3,69.4,57.9,34.2,61.9,62.9,74.9,70,50,40
Nepal,2025,52.5,38.3,39.4,43.3,83.6,79.5,65.8,64.7,48.3,68.2,58.4,10,30
Netherlands,2025,78.2,95.9,86.8,95.7,54,41.6,94.7,84.8,60.1,74.7,79.6,90,80
New Zealand,2025,78.1,87.5,91.3,93.9,65.4,47.8,77.7,88.7,69.7,74.6,90.4,70,80
Nicaragua,2025,54,28.2,13.6,9.1,77.7,75.9,95.8,55.8,47.3,66.4,68.2,60,50
Niger,2025,51.5,29.6,31.8,37.1,77.9,87.3,34.4,33.8,54,72.6,64,55,40
Nigeria,2025,53.4,25.4,22.4,34.1,85.1,94.5,55.4,38.5,72.8,59.9,67.6,45,40
North Korea,2025,3,15.7,4,5.9,0,0,0,5,5,0,0,0,0
North Macedonia,2025,63.2,59.1,43.6,49.7,94.8,60.6,50.9,74.2,57.6,65,77.8,65,60
Norway,2025,78.3,97.7,94.8,98.5,62.4,44,96.1,86.7,69.3,70.3,85,75,60
Oman,2025,65.4,74.5,42.3,25.5,97.6,70.8,63.2,68.1,52.2,82.5,78.2,70,60
Pakistan,2025,49.1,29.2,28.4,28.9,78.3,88.9,8.1,51.5,51.8,54.5,69.8,60,40
Panama,2025,65.5,56,37,49.4,86.9,85.2,62.4,73.4,60.7,76.4,78.6,60,60
Papua New Guinea,2025,52.5,44.7,28.5,44.2,72.1,85.5,46.7,35.5,64.6,73.6,79.8,25,30
Paraguay,2025,65.2,45,27.7,37.3,97,87.1,79.3,73.2,48.2,74.6,78.2,75,60
Peru,2025,65.9,44.9,34,47.3,79.4,83.9,89.8,70.6,65.1,73.9,81.6,60,60
Poland,2025,67.1,72.3,58.4,52.3,73.8,39.7,75.9,77.8,56.8,68.5,79.6,80,70
Portugal,2025,70.5,90.1,63.9,91.3,59.8,40.2,79.7,79.6,57.1,75.1,79.6,70,60
Qatar,2025,70.2,71.1,52.6,42.3,99.9,78.1,96.2,67.9,59.3,73.2,81.6,60,60
Republic of Congo,2025,48.6,30.8,13.2,14.9,75.5,86.2,80.4,36.9,52.5,77.7,49.6,35,30
Romania,2025,66.5,81.7,49.1,67,93.7,59.1,36.1,75.1,67.8,69.2,79.6,70,50
Russia,2025,51.6,18.6,23,28.4,87.7,62,97.8,51.3,59,62.2,69.4,30,30
Rwanda,2025,54.8,62,50.5,27.1,81.3,73.8,35,56.8,48.7,67.3,55.2,60,40
Saint Lucia,2025,67,69.5,59,74.6,78.6,82.5,74.3,73.8,64.9,76.6,60,50,40
Saint Vincent and the Grenadines,2025,60.1,69,61.7,77.8,74.9,58.9,4.8,69.4,59.7,76.5,59,70,40
Samoa,2025,66.6,76.1,60.3,77.7,79,67.3,97.8,63.5,76.2,64.6,67.2,40,30
São Tomé and Príncipe,2025,60.4,53,47.7,60.6,88.6,81.5,93.6,52.8,45.2,57.2,65,50,30
Saudi Arabia,2025,64.4,51,48.1,38.1,99.3,71.6,98.1,70.6,43.1,80.1,72.8,50,50
Senegal,2025,56.4,57.2,45.2,50.3,69.4,79.7,30.5,54.3,54.3,68.8,67.2,60,40
Serbia,2025,64.4,58.9,37.2,50.8,87.3,40.2,91.2,74.7,66.6,68.5,77.2,70,50
Seychelles,2025,66.4,74,75,63.7,79.7,64.6,83.2,78.8,56.5,75.6,85.2,30,30
Sierra Leone,2025,48,33.8,36,41.5,87.8,89,53.8,37,23.7,50.2,63.6,40,20
Singapore,2025,84.1,94.3,86.4,58.3,89.9,92.9,73.9,90.6,77.1,81,95,90,80
Slovakia,2025,68.4,84.3,57.2,69.9,76.7,38.7,69.8,77,58,64.5,79.6,75,70
Slovenia,2025,68.3,88.4,64.4,91.8,56.6,30.9,72.2,78.5,64.5,72.9,79.6,70,50
Solomon Islands,2025,56.3,48.2,42,61.9,70.6,70.2,95.3,50.1,60.5,76.2,55.4,15,30
Somalia,2025,N/A,0,8.2,1.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2025,57.3,44.3,45.1,57.7,67.9,68.6,45.8,64,71,74.5,68.4,40,40
South Korea,2025,74,89.4,68.8,77.3,59.6,81.8,93.8,90,56.4,77.6,73.2,60,60
Spain,2025,66.3,87.2,64.7,74,57.7,33.5,40.8,83.6,63.1,76.5,84.6,70,60
Sri Lanka,2025,49.4,51.3,37.4,47.4,77.5,88.8,0,55.8,54.6,54.5,65,30,30
Sudan,2025,35.3,12,15.6,4,84.7,95.7,73.5,28.5,39.2,16.3,29.6,5,20
Suriname,2025,50.9,42.1,39.7,43.1,69.1,74,66.1,57.6,69,44.1,65.4,20,20
Sweden,2025,77.9,96.5,92.3,95.6,51.6,31.5,97.3,84.6,66.1,74.3,79.6,85,80
Switzerland,2025,83.7,94.5,92.3,99.3,70.9,68,97.6,88.8,60.5,80.7,86.6,85,80
Syria,2025,N/A,2.6,3.3,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taiwan,2025,79.7,83,73.3,94.4,79,90.1,91.3,79.6,69,79.9,86.6,70,60
Tajikistan,2025,51.5,28.8,15.7,11.2,92.3,75,97.3,56.2,43.6,71,72.2,25,30
Tanzania,2025,59.3,46.7,39.8,30.4,80.4,89.4,74.3,48.9,62.1,72.5,61.8,55,50
Thailand,2025,60.6,45.1,38.4,34.6,81.3,81.7,61.3,70.9,56.4,70.2,72.4,55,60
The Bahamas,2025,63.2,61.8,66.2,78.6,97.2,77.2,6.7,70,68.8,72.9,49,50,60
The Gambia,2025,56.8,55,39.5,45.2,79.3,84.8,56.9,50.6,48,55.7,66.8,50,50
The Philippines,2025,60.6,47.4,35.3,42.5,79.1,79.9,47.7,69.1,57.7,69.8,79.2,60,60
Timor-Leste,2025,47.9,41.5,44.1,36.2,97.3,0,19.8,65.6,57.2,67.5,80,45,20
Togo,2025,52.3,37,31.6,37.1,70.5,81.6,21.7,59.9,51.9,69.8,66.8,60,40
Tonga,2025,58.5,67.9,45.8,65.7,84.9,28.9,96.3,59.5,56.6,61,75.4,40,20
Trinidad and Tobago,2025,63.6,58.3,44.7,58.5,79.5,74.5,80.9,72.6,60.4,76.3,67.6,50,40
Tunisia,2025,49.1,59.3,41.3,39.7,79.4,63.1,6.4,56.8,56,71.3,56.2,30,30
Türkiye,2025,56.1,40.6,34.3,23.8,72.2,71.9,82.3,58.5,48.4,37.9,72.8,70,60
Turkmenistan,2025,47.1,17.7,7.3,8.2,94.2,96.7,100,37.4,33.9,75.1,74.2,10,10
Uganda,2025,51.3,47.4,24.1,29.2,73.6,87.7,35.5,50.3,54.8,75.1,57.4,40,40
Ukraine,2025,N/A,21.5,35.4,29.9,N/A,N/A,N/A,N/A,N/A,N/A,73.2,N/A,N/A
United Arab Emirates,2025,71.6,65.4,65.9,35.2,96.9,82.3,97.9,84.2,62.1,80.5,78.4,50,60
United Kingdom,2025,69.3,95.2,83.4,84.8,61,40.1,19,83.4,63.2,67.9,83.4,70,80
United States,2025,70.2,95.4,77.3,76.6,75.6,55.8,0,88.5,77,70.7,75.6,70,80
Uruguay,2025,70.2,86,77.5,81.8,77.3,72.3,79.6,84,61.8,68.5,73,50,30
Uzbekistan,2025,58,33.5,31.2,14.5,92.8,73.6,73.3,64.4,47.9,64.6,80.6,60,60
Vanuatu,2025,61.8,61.4,48.1,71.3,97.6,43.1,85.4,55.5,48.8,65.7,59.4,65,40
Venezuela,2025,27.6,0.7,6.7,4.1,75.9,93.8,29.1,32.5,35.9,0,42.2,0,10
Vietnam,2025,65.2,49.9,39.1,35,81.8,88.8,95.8,73.9,54.5,73.9,79.8,60,50
Yemen,2025,N/A,5.1,6.1,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zambia,2025,50.9,45.8,36.7,45.3,74.7,75,0,45.9,48.7,68.2,65.8,55,50
Zimbabwe,2025,35.1,20.7,20.7,15.8,73.6,87.6,44.4,39.3,33.2,0,50.4,25,10
